Vin, Vout_RC1, Vout_RC01, Vout_RC001
-1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.000000000000000000e+00, -8.689926131225206296e-02, -5.971096378654013881e-01, -1.662470615925690787e-01
-1.000000000000000000e+00, -1.662470651092252949e-01, -8.376794041902146937e-01, -3.048560488969612181e-01
-1.000000000000000000e+00, -2.386996186642832973e-01, -9.346026152998776482e-01, -4.204217030311230840e-01
-1.000000000000000000e+00, -3.048560518303447542e-01, -9.736520207362864276e-01, -5.167749014429884324e-01
-1.000000000000000000e+00, -3.652635670147971747e-01, -9.893846533779674379e-01, -5.971096388601567773e-01
-1.000000000000000000e+00, -4.204217054746170468e-01, -9.957231790173416419e-01, -6.640890148005953453e-01
-1.000000000000000000e+00, -4.707866430468588548e-01, -9.982769128015365201e-01, -7.199332466702118571e-01
-1.000000000000000000e+00, -5.167749034802865404e-01, -9.993057862572403138e-01, -7.664935312137464152e-01
-1.000000000000000000e+00, -5.587668112228582062e-01, -9.997203083517429700e-01, -8.053133025078367258e-01
-1.000000000000000000e+00, -5.971096408775847797e-01, -9.998873129151284456e-01, -8.376794045921416298e-01
1.000000000000000000e+00, -6.321205019555499183e-01, -9.999545853603818424e-01, -8.646647316384803439e-01
1.000000000000000000e+00, -4.902903921547061006e-01, 1.942376354345390077e-01, -5.546696714109711213e-01
1.000000000000000000e+00, -3.607852261405018468e-01, 6.753661559767103473e-01, -2.962103703831697743e-01
1.000000000000000000e+00, -2.425339751065100080e-01, 8.692081629972012724e-01, -8.071917632179063939e-02
1.000000000000000000e+00, -1.345586668735631597e-01, 9.473052315398071688e-01, 9.894723506926129952e-02
1.000000000000000000e+00, -3.596633410005363463e-02, 9.787697856989030498e-01, 2.487446310568104946e-01
1.000000000000000000e+00, 5.405839509729019887e-02, 9.914465511221980387e-01, 3.736386388059128594e-01
1.000000000000000000e+00, 1.362600399158987730e-01, 9.965538993953539926e-01, 4.777693864120993728e-01
1.000000000000000000e+00, 2.113184131202444915e-01, 9.986116010054038039e-01, 5.645887016144029991e-01
1.000000000000000000e+00, 2.798542844211128200e-01, 9.994406288504456004e-01, 6.369745590803693736e-01
1.000000000000000000e+00, 3.424344403169317097e-01, 9.997746352837784123e-01, 6.973264780195739254e-01
-1.000000000000000000e+00, 3.995763914233291247e-01, 9.999092005020305818e-01, 7.476450499757354429e-01
-1.000000000000000000e+00, 2.779542110321203685e-01, -1.942559094956978760e-01, 4.571041609466862665e-01
-1.000000000000000000e+00, 1.669009070585547039e-01, -6.753735185494894600e-01, 2.148648470703551361e-01
-1.000000000000000000e+00, 6.549805501679835384e-02, -8.692111293729938293e-01, 1.289710493315552806e-02
-1.000000000000000000e+00, -2.709296504818114321e-02, -9.473064267914618197e-01, -1.554940853761059005e-01
-1.000000000000000000e+00, -1.116378924918357135e-01, -9.787702672193123732e-01, -2.958907316514137742e-01
-1.000000000000000000e+00, -1.888359242512571701e-01, -9.914467451220533301e-01, -4.129468411285591167e-01
-1.000000000000000000e+00, -2.593255024241343798e-01, -9.965539775568754699e-01, -5.105427137383059533e-01
-1.000000000000000000e+00, -3.236895866293755253e-01, -9.986116324870629724e-01, -5.919135587080757155e-01
